iter	Passed	Remaining
0	150	150530
1	162	81271
2	176	58669
3	189	47267
4	202	40263
5	215	35639
6	227	32211
7	239	29680
8	252	27807
9	266	26364
10	278	25081
11	291	23973
12	303	23019
13	314	22175
14	327	21538
15	341	21001
16	354	20472
17	368	20125
18	384	19838
19	399	19583
20	411	19201
21	423	18842
22	436	18520
23	450	18300
24	462	18043
25	475	17804
26	486	17539
27	498	17311
28	510	17088
29	521	16865
30	534	16703
31	550	16665
32	567	16628
33	582	16545
34	597	16486
35	613	16417
36	625	16291
37	638	16154
38	650	16017
39	660	15859
40	669	15665
41	678	15468
42	687	15291
43	696	15124
44	704	14944
45	713	14795
46	722	14642
47	731	14500
48	739	14351
49	748	14213
50	756	14071
51	764	13943
52	772	13809
53	781	13699
54	790	13584
55	799	13470
56	807	13364
57	815	13250
58	824	13153
59	833	13056
60	841	12960
61	849	12859
62	858	12774
63	867	12683
64	875	12596
65	883	12507
66	892	12429
67	901	12349
68	913	12328
69	924	12281
70	934	12231
71	947	12207
72	954	12123
73	963	12054
74	972	11988
75	980	11926
76	992	11901
77	1005	11880
78	1018	11876
79	1027	11812
80	1035	11751
81	1046	11714
82	1054	11655
83	1066	11627
84	1078	11614
85	1092	11606
86	1104	11588
87	1115	11564
88	1126	11534
89	1140	11527
90	1155	11538
91	1170	11550
92	1182	11535
93	1194	11510
94	1206	11489
95	1219	11487
96	1232	11476
97	1244	11451
98	1256	11436
99	1270	11434
100	1283	11423
101	1295	11408
102	1307	11384
103	1318	11358
104	1330	11340
105	1343	11334
106	1355	11313
107	1367	11292
108	1380	11285
109	1394	11282
110	1411	11307
111	1426	11308
112	1438	11291
113	1452	11285
114	1464	11268
115	1475	11243
116	1486	11220
117	1500	11212
118	1512	11198
119	1524	11179
